"Naziv isplatitelja";"Datum";"Primatelj";"OIB";"Mjesto";"Proračunski korisnik";"Valuta";"Iznos na poziciji";"Pozicija";"Organizacijska klasifikacija";"Programska klasifikacija";"Izvor financiranja";"Ekonomska klasifikacija";"Funkcijska klasifikacija";"Broj računa";"Opis";"Datum računa";"Datum dospijeća";"IBAN";"Poziv na broj"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"Fizičke osobe";"GDPR";"";;"EUR";"60.00";"R0472 Jednokratne novčane pomoći umirovljenicima";"500       01 UPRAVNI ODJEL ZA DRUŠTVENE DJELATNOSTI";"L01 5006A500002 Socijalna zaštita starijih, bolesnih i nemoćnih osoba";"1.1.001    1.OPĆI PRIHODI I PRIMICI";"372190 Ostale naknade iz proračuna u novcu";"1020 Starost";"";"";"2025-12-31T00:00:00.000Z";"2025-12-31T00:00:00.000Z";"";"HR99"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"Fizičke osobe";"GDPR";"";;"EUR";"468.00";"R0473 Ostale novčane pomoći starijim i nemoćnim osobama";"500       01 UPRAVNI ODJEL ZA DRUŠTVENE DJELATNOSTI";"L01 5006A500002 Socijalna zaštita starijih, bolesnih i nemoćnih osoba";"1.1.001    1.OPĆI PRIHODI I PRIMICI";"372120 Pomoć obiteljima i kućanstvima";"1020 Starost";"";"";"2025-12-31T00:00:00.000Z";"2025-12-31T00:00:00.000Z";"";"HR99"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"VODOVOD PULA-LABIN d.o.o-PodružnicaLABIN";"19798348108";"LABIN";;"EUR";"4.72";"R0350-40 Utrošak vode za zalijevanje javnih zelenih površina";"400       01 UPRAVNI ODJEL ZA KOMUNALNO GOSPODARSTVO I UPRAVLJANJE IMOVINOM";"L01 4001A400015 Održavanje javnih zelenih površina";"4.6.001    4. KOMUNALNA NAKNADA";"323410 Opskrba vodom";"0560 Poslovi i usluge zaštite okoliša koji nisu drugdje svrstani";"55115551";"VODA ZA 11/25 - ŠETNICA SLAVIJA 25/0004235";"2025-11-30T00:00:00.000Z";"2025-12-31T00:00:00.000Z";"HR5524020061500147397";"HR01 55115551-80004-86"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"VODOVOD PULA-LABIN d.o.o-PodružnicaLABIN";"19798348108";"LABIN";;"EUR";"48.74";"R0350-40 Utrošak vode za zalijevanje javnih zelenih površina";"400       01 UPRAVNI ODJEL ZA KOMUNALNO GOSPODARSTVO I UPRAVLJANJE IMOVINOM";"L01 4001A400015 Održavanje javnih zelenih površina";"4.6.001    4. KOMUNALNA NAKNADA";"323410 Opskrba vodom";"0560 Poslovi i usluge zaštite okoliša koji nisu drugdje svrstani";"55115634";"VODA ZA 11/25 - RIVA 25/0004234";"2025-11-30T00:00:00.000Z";"2025-12-31T00:00:00.000Z";"HR5524020061500147397";"HR01 55115634-80004-81"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"VODOVOD PULA-LABIN d.o.o-PodružnicaLABIN";"19798348108";"LABIN";;"EUR";"166.23";"R0366-10 Komunalne usluge";"400       01 UPRAVNI ODJEL ZA KOMUNALNO GOSPODARSTVO I UPRAVLJANJE IMOVINOM";"L01 4002A400008 Održavanje igrališta";"4.6.001    4. KOMUNALNA NAKNADA";"323410 Opskrba vodom";"0810 Službe rekreacije i sporta";"55115642";"VODA ZA 11/25 - NK RABAC 25/0004233";"2025-11-30T00:00:00.000Z";"2025-12-31T00:00:00.000Z";"HR5524020061500147397";"HR01 55115642-80004-88"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"VODOVOD PULA-LABIN d.o.o-PodružnicaLABIN";"19798348108";"LABIN";;"EUR";"3.98";"R0350-40 Utrošak vode za zalijevanje javnih zelenih površina";"400       01 UPRAVNI ODJEL ZA KOMUNALNO GOSPODARSTVO I UPRAVLJANJE IMOVINOM";"L01 4001A400015 Održavanje javnih zelenih površina";"4.6.001    4. KOMUNALNA NAKNADA";"323410 Opskrba vodom";"0560 Poslovi i usluge zaštite okoliša koji nisu drugdje svrstani";"55115643";"VODA ZA 11/25 - ZALIJEVANJE ROTOR RABAC 25/0004232";"2025-11-30T00:00:00.000Z";"2025-12-31T00:00:00.000Z";"HR5524020061500147397";"HR01 55115643-80004-80"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"VODOVOD PULA-LABIN d.o.o-PodružnicaLABIN";"19798348108";"LABIN";;"EUR";"4.72";"R0350-40 Utrošak vode za zalijevanje javnih zelenih površina";"400       01 UPRAVNI ODJEL ZA KOMUNALNO GOSPODARSTVO I UPRAVLJANJE IMOVINOM";"L01 4001A400015 Održavanje javnih zelenih površina";"4.6.001    4. KOMUNALNA NAKNADA";"323410 Opskrba vodom";"0560 Poslovi i usluge zaštite okoliša koji nisu drugdje svrstani";"55116138";"VODA ZA 11/25 - DJ IGRL.LOŠINJSKA ZALIJEVANJE 25/0004231";"2025-11-30T00:00:00.000Z";"2025-12-31T00:00:00.000Z";"HR5524020061500147397";"HR01 55116138-80004-88"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"2003 - DOPRINOS ZA MIO II STUP";"GDPR";"";"GRADSKA KNJIŽNICA LABIN";"EUR";"3.27";"R1099 Intelektualne i osobne usluge";"500       04        42266 GRADSKA KNJIŽNICA LABIN";"L01 5004A500014 Književni susreti i radionice";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"323710 Autorski honorari";"0820 Službe kulture";"25/00331";"GK-UG. O AUTORSKOM HONORARU - MIO II";"2025-12-30T00:00:00.000Z";"2025-12-31T00:00:00.000Z";"";"HR99"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"VODOVOD PULA-LABIN d.o.o-PodružnicaLABIN";"19798348108";"LABIN";;"EUR";"3.98";"R0366-10 Komunalne usluge";"400       01 UPRAVNI ODJEL ZA KOMUNALNO GOSPODARSTVO I UPRAVLJANJE IMOVINOM";"L01 4002A400008 Održavanje igrališta";"4.6.001    4. KOMUNALNA NAKNADA";"323410 Opskrba vodom";"0810 Službe rekreacije i sporta";"55117216";"VODA ZA 11/25 - NK ISKRA ZALIJEVANJE 25/0004230";"2025-11-30T00:00:00.000Z";"2025-12-31T00:00:00.000Z";"HR5524020061500147397";"HR01 55117216-80004-80"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"UJČIĆ LUKŠIĆ DUBRAVKA";"GDPR";"";"GRADSKA KNJIŽNICA LABIN";"EUR";"150.00";"R1099 Intelektualne i osobne usluge";"500       04        42266 GRADSKA KNJIŽNICA LABIN";"L01 5004A500014 Književni susreti i radionice";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"323710 Autorski honorari";"0820 Službe kulture";"25/00330";"GK - UG. O AUTORSKOM HONORARU  - DUBRAVKA U. LUKŠIĆ";"2025-12-30T00:00:00.000Z";"2025-12-31T00:00:00.000Z";"";"HR99"
